zmin,zmax,n_main_south,n_main_north,n_sv3_south,n_sv3_north,n_sv1_south,n_sv1_north,n_sv1_bright
-0.05,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00,0.05,0.136746212197935,0.1495483672996906,0.0860625945452614,0.11748853444742151,0.7449678872826927,0.40085617264103957,0.3192719516925826
0.05,0.10,0.6594206232655967,0.5981934691987634,0.5409648799987864,0.36551988494753357,3.2991435008233516,4.008561726410396,2.4477516296431325
0.10,0.15,0.7840116166014918,0.6933606120258399,0.9958671654523148,0.6527140802634503,8.726766679597285,8.818835798102846,7.662526840621991
0.15,0.20,0.9541846806700327,0.7613371426166011,1.008161821815912,0.9529625571846385,13.728693922781147,12.827397524513232,12.98372603549845
0.20,0.25,2.634643688346873,2.039295917723033,3.221199967265454,3.1199733036593447,21.178372795608126,20.577283528907028,20.646252876120485
0.25,0.30,4.767884598634941,5.043858569834955,11.434030418156487,9.960416864820418,37.35481834803242,42.89161047259089,37.03554639633983
0.30,0.35,11.793601100892419,10.407206833447349,18.577225765411256,17.179434592532168,67.15353383933711,58.79223865401741,66.30214196815753
0.35,0.40,22.511465332499817,21.60294142174841,22.831176867219526,21.839813125618385,66.72783790374132,66.40850593419694,65.45075009697115
0.40,0.45,26.118526529798153,23.9889176454764,28.154763072661673,27.805619819217434,81.62719564939331,77.63247876815345,80.45653182652066
0.45,0.50,28.674161295538667,27.93155641974481,29.384228709022437,36.80001984523892,77.26381230959521,82.04189666721447,75.6674525511325
0.50,0.55,36.18608655227577,32.24126845921798,43.11735986720849,43.99292900973934,94.61092168489,104.2226048866894,90.67323428068198
0.55,0.60,38.674867614277275,40.28968968116425,49.12944682903321,43.483812027134036,100.88993673487613,103.82174871401827,96.10085745947862
0.60,0.65,42.6952062529526,44.23912610842734,64.52235659628784,61.785914837714046,124.09036522456768,127.07140672717878,114.08651073819601
0.65,0.70,47.4418192186304,45.36753651622337,59.65367267629358,64.17484837147731,133.98779572704177,140.0324229759026,113.7672387865033
0.70,0.75,47.18959842724257,51.47182896328184,63.317480272652915,58.65288725245068,161.55160755651264,172.50177295981894,127.49593270928995
0.75,0.80,54.52223420578184,56.202995492465675,76.06703892172885,77.82962693058334,171.3426140749392,192.94543776450712,114.51220667378448
0.80,0.85,57.98647158146969,60.98854324617241,72.18192751067534,83.53434799208367,179.96295677060016,184.39383941483356,99.82569689581487
0.85,0.90,53.15173327908428,51.138743963547654,71.21064965776895,72.32072009316198,169.4269823647519,185.8636453811837,81.30792369765732
0.90,0.95,41.83826332321951,40.99664559938162,60.87084365601072,55.68956532805578,165.1700230088536,136.4247174221341,67.25995782319296
0.95,1.00,30.23914572409626,30.004840602814056,49.1171521724425,43.58824627997615,141.5438985836181,106.62774192249071,50.23212039959981
1.00,1.05,19.214362216205473,19.88993285089066,27.134306594388136,27.766456974396306,83.75567532729883,81.24018432189769,26.180300038774476
1.05,1.10,12.021511454579922,12.419312138954751,18.306743325348407,19.920833729632704,68.32419766216753,62.39994420777339,20.965524827799072
1.10,1.15,7.183734347479003,7.423037140525025,10.5979937853931,10.939487985211144,43.846681365752374,38.48219257353048,11.919486196515209
1.15,1.20,3.974756567894474,4.309712039461829,6.589935810870884,6.579357929053003,29.585867523493107,27.659075912225035,8.40749472789912
1.20,1.25,1.8719037047576421,2.0868794891398466,3.467093094525353,3.629090286263363,17.985653278670497,18.439383941483356,4.150535372000832
1.25,1.30,1.1334741588873385,1.0672315302767856,1.6720732654448511,1.8406537063422093,11.387366277027922,9.353310694955326,3.5119914686160882
1.30,1.35,0.5287520204997236,0.598193469200055,0.8729206018131208,1.0965596548421672,6.279015049949976,5.3447489685459,1.489935774564401
1.35,1.40,0.24310437724125222,0.21752489789082574,0.4671969418154731,0.5221712642105558,3.299143500821174,2.5387557600593027,0.7449678872822005
1.40,1.45,0.11243577447407915,0.0679765305909541,0.29507175272556196,0.19581422407895843,1.1706638228720294,2.0042808632047127,0.31927195169237166
1.45,1.50,0.06685370374134436,0.08157183670914492,0.09835725090852065,0.09137997123684727,1.91563171015423,1.336187242136475,0.8513918711796578
