zmin,zmax,n_sdss_lrg,n_boss,n_boss_plus_eboss,n_desi_lrg
-0.05,0.00,0.0,0.0,0.0,0.0
0.00,0.05,2.7403797468357998,0.11210526315789465,0.11210526315789465,0.143113042306122
0.05,0.10,3.7425316455700783,1.2512631578947395,1.2512631578947395,0.6289708368934678
0.10,0.15,1.830506329111392,1.7183157894737289,1.7183157894737289,0.7389286176312239
0.15,0.20,1.6437974683521315,2.2559999999998523,2.2559999999998523,0.8582768040813519
0.20,0.25,1.993797468352696,4.280736842104777,4.280736842104777,2.3385624363450077
0.25,0.30,2.2198734177249797,5.8697894736838006,5.8697894736838006,4.905133317694065
0.30,0.35,3.331518987348801,8.284631578950483,8.284631578950483,11.104112753529977
0.35,0.40,3.0246835443101823,8.714210526322056,8.714210526322056,22.05963379765248
0.40,0.45,1.9568354430421024,10.665578947368445,10.665578947368445,25.059419070499924
0.45,0.50,1.1915189873442884,22.148526315765764,22.491383458622902,28.304845423006984
0.50,0.55,0.2530379746840765,26.388736842122427,28.2554035087892,34.22423041113615
0.55,0.60,0.029493670886136414,21.45389473690605,26.15365664166671,39.47795878706044
0.60,0.65,0.004050632911400953,13.649789473725093,20.43859899753225,43.4630359927373
0.65,0.70,0.0011392405063332944,6.977473684231427,15.061997493752296,46.4102268455021
0.70,0.75,0.0020253164557004766,2.963789473693083,11.157598997515532,49.319258167368176
0.75,0.80,0.0013924050632923013,0.9800000000029456,8.269285714311462,55.358118592408765
0.80,0.85,0.0003797468354456157,0.24863157894813526,5.6864887218223075,59.479476478679786
0.85,0.90,0.0015189873417718047,0.07105263157913555,3.515576441113744,52.15062363154847
0.90,0.95,0.0017721518987414697,0.030842105263246822,1.9058421052691514,41.419705899010516
0.95,1.00,0.00025316455696255957,0.017684210526397237,0.9098270676720546,30.122619960361575
1.00,1.05,0.0,0.001052631578971841,0.4043859649135726,19.550340293562996
1.05,1.10,0.0,0.0002105263157545778,0.18544862155444264,12.219347627802644
1.10,1.15,0.0,0.00010526315790571061,0.09153383458676956,7.302745577668655
1.15,1.20,0.0,0.00031578947368871013,0.03626817042618313,4.141338253893932
1.20,1.25,0.0,0.0,0.016190476190523384,1.9788165085517502
1.25,1.30,0.0,0.0,0.006666666666689025,1.10053005229506
1.30,1.35,0.0,0.0,0.0,0.563286979873928
1.35,1.40,0.0,0.0001052631578772889,0.0001052631578772889,0.23038306602563435
1.40,1.45,0.0,0.0,0.0,0.09032508683653509
1.45,1.50,0.0,0.0,0.0,0.07417339729066262
